Plot,Tree_ID,D_CAL,D_FS,D_ARB
4,1,82.1,77.6,69.25416
4,2,86.7,90.6,91.00636
17,1,56.8,49.7,56.841064
17,2,66.1,69,70.18752
17,3,59.5,50.7,56.002064
17,4,53.5,58.2,65.05555
17,5,39.8,39.1,38.580307
17,6,56.8,59.7,55.42414
18,1,65.3,70.3,67.01811
18,2,85.1,88.2,97.39214
31,1,49.6,51,48.82652
31,2,43.2,44,40.812458
31,3,55.2,42,53.393425
31,4,44.7,45.3,39.869755
31,5,59.7,59.1,57.806892
31,6,49.4,48.4,48.762386
31,7,44.1,42,43.218185
48,1,59.9,55.5,56.566025
48,2,49.1,47.8,47.91486
48,3,39.8,47.8,42.464653
48,4,45.5,48.3,45.349243
48,5,47.6,46.4,47.68114
48,6,58.9,51.2,48.482002
52,1,66.8,69.8,67.22171
52,2,70.1,72.7,72.70072
68,1,31.3,32.5,31.479328
68,2,57.6,57.3,56.97744
68,3,45.1,39.3,43.662792
68,4,62.2,57.4,63.870834
68,5,42.1,42.5,42.08662
68,6,44.2,44,46.294785
78,1,76.3,79.4,81.33083
78,2,71.9,67.6,70.172325
86,1,73.3,73.2,74.72191
86,2,79.9,90,92.06232
86,3,93.6,98.2,108.54285
90,1,74.7,79.8,91.16325
100,1,59.8,51.1,49.912907
100,2,47.9,50.4,46.040474
100,3,40.8,57.5,42.397114
100,4,52.7,52.6,50.428272
100,5,53.6,58.8,56.611645
100,6,58.6,61.6,60.864727
100,7,55.6,45.9,54.275345
103,1,78.5,82.1,78.61316
114,1,66.7,64.7,69.69385
114,2,73.3,77.1,76.53831
119,1,46.2,44.6,46.907112
119,2,45.3,48.7,47.4108
119,3,47.8,51.2,50.301582
119,4,42.5,42.3,43.705112
119,5,48.4,51.4,48.144875
119,6,42.8,50.8,43.201023
119,7,40,33.8,44.22052
119,8,46.2,44.2,45.115353
119,9,52.3,63.1,69.027695
119,10,48.9,44.1,48.787342
119,11,45.4,46,48.369724
119,12,48,52.5,62.73168
121,1,78.9,84.5,85.21222
121,2,90.8,89.1,95.82794
126,1,72.9,60.3,76.68756
126,2,83.5,86.9,81.63428
131,1,66.5,70.3,70.19389
131,2,65.7,64.9,74.91813
131,3,68,66.3,67.6449
148,1,72.6,63.6,69.56756
158,1,72.7,71.6,71.91097
158,2,63.2,62.4,63.40709
158,3,72.4,71.2,75.74603
162,1,69.7,65.9,68.41634
162,2,75.4,69.5,70.80414
162,3,59.2,61.2,65.43869
162,4,70.2,78.1,95.41977
168,1,44,38.8,45.880882
168,2,51.2,50,49.229908
168,3,45,47.6,42.392723
168,4,51.1,54.5,53.73796
168,5,58,57.4,74.37944
168,6,58.8,56.6,54.463776
172,1,71.3,70.6,71.78144
172,2,69.7,72.8,69.35393
172,3,88.6,86.8,96.000305
173,1,71.1,66.5,69.022736
173,2,66.1,52.9,68.25983
193,1,71.7,78.1,71.56717
193,2,70.6,73.3,70.94262
193,3,77.8,89.1,77.989426
227,1,81.7,81.3,81.01138
227,2,62.6,61.6,63.75676
227,3,64,82.7,67.61303
240,1,76.6,77.8,81.13882
240,2,75.6,70.4,76.58529
240,3,84.7,80.4,86.40204
240,4,74.9,78.5,77.534164
251,1,55,43.1,55.07291
251,2,72.4,71.9,73.83865
251,3,44.6,43.5,37.349735
251,4,65.8,70.1,82.16993
251,5,58.7,58.2,67.648994
251,6,46.1,47.7,60.722374
251,7,47.4,50.9,77.029854
251,8,57.4,59.3,66.81168
266,1,71.6,68.2,69.73516
266,2,66.5,72.3,71.14361
266,3,70.5,66.9,67.69549
266,4,64.8,62.5,63.25388
266,5,82.6,85.3,83.90456
277,1,73.1,74.4,75.618675
277,2,73.8,74.4,74.93045
277,3,76.5,76.8,74.36138
278,1,72.2,67.4,66.78604
278,2,69.5,71,68.92113
278,3,76.5,71.9,74.828995
278,4,59.9,57.8,60.310997
278,5,60.6,60.8,64.70671
